代理源 重庆电信,#genre#
江苏教育,http://219.151.182.121:7788/628008321
江苏影视频道,http://219.151.182.121:7788/626064697
江苏综艺频道,http://219.151.182.121:7788/626065193
公共新闻频道,http://219.151.182.121:7788/626064693
盐城新闻综合,http://219.151.182.121:7788/639731825
淮安新闻综合,http://219.151.182.121:7788/639731826
泰州新闻综合,http://219.151.182.121:7788/639731818
连云港新闻综合,http://219.151.182.121:7788/639731715
宿迁新闻综合,http://219.151.182.121:7788/639731832
徐州新闻综合,http://219.151.182.121:7788/639731747
优漫卡通频道,http://219.151.182.121:7788/626064703
江阴新闻综合,http://219.151.182.121:7788/955227979
南通新闻综合,http://219.151.182.121:7788/955227985
宜兴新闻综合,http://219.151.182.121:7788/955227996
溧水新闻综合,http://219.151.182.121:7788/639737327
陕西银龄频道,http://219.151.182.121:7788/956909362
陕西都市青春频道,http://219.151.182.121:7788/956909358
陕西秦腔频道,http://219.151.182.121:7788/956909303
陕西新闻资讯频道,http://219.151.182.121:7788/956909289
财富天下,http://219.151.182.121:7788/956923159
镇江新闻综合,http://219.151.182.121:7788/639731783
海南广播电视总台新闻频道,http://219.151.182.121:7788/962067517
海南广播电视总台自贸频道,http://219.151.182.121:7788/962045226
海南广播电视总台社会与法频道,http://219.151.182.121:7788/962045223
海南广播电视总台文旅频道,http://219.151.182.121:7788/962067526
海南广播电视总台少儿频道,http://219.151.182.121:7788/962067523
广东珠江频道,http://219.151.182.121:7788/639731952
赛事最经典,http://219.151.182.121:7788/646596895
体坛名栏汇,http://219.151.182.121:7788/629943305
四海钓鱼,http://219.151.182.121:7788/637444975
陕西体育休闲频道,http://219.151.182.121:7788/956909356
24小时城市联赛轮播台,http://219.151.182.121:7788/915512915
武术世界,http://219.151.182.121:7788/958475359
快乐垂钓,http://219.151.182.121:7788/961930263
建党105周年巡礼,http://219.151.182.121:7788/713600957
经典香港电影,http://219.151.182.121:7788/625703337
新片放映厅,http://219.151.182.121:7788/619495952
CHC影迷电影,http://219.151.182.121:7788/952383261
CHC动作电影,http://219.151.182.121:7788/644368714
CHC家庭影院,http://219.151.182.121:7788/644368373
和美乡途轮播台,http://219.151.182.121:7788/713591450
南方影视,http://219.151.182.121:7788/614961829
中国天气,http://219.151.182.121:7788/959986621
CETV1,http://219.151.182.121:7788/923287154
CETV2,http://219.151.182.121:7788/923287211
CETV4,http://219.151.182.121:7788/923287339
山东教育,http://219.151.182.121:7788/609154353
熊猫频道01高清,http://219.151.182.121:7788/609158151
熊猫频道1,http://219.151.182.121:7788/608933610
熊猫频道2,http://219.151.182.121:7788/608933640
熊猫频道3,http://219.151.182.121:7788/608934619
熊猫频道4,http://219.151.182.121:7788/608934721
熊猫频道5,http://219.151.182.121:7788/608935104
熊猫频道6,http://219.151.182.121:7788/608935797
熊猫频道7,http://219.151.182.121:7788/609169286
熊猫频道8,http://219.151.182.121:7788/609169287
熊猫频道9,http://219.151.182.121:7788/609169226
熊猫频道10,http://219.151.182.121:7788/609169285
最强综艺趴,http://219.151.182.121:7788/629942228
嘉佳卡通,http://219.151.182.121:7788/614952364
经典动画大集合,http://219.151.182.121:7788/629942219
新动力量创一流,http://219.151.182.121:7788/713589837
中华特产,http://219.151.182.121:7788/959986618
环球旅游,http://219.151.182.121:7788/958475356
梨园频道,http://219.151.182.121:7788/961930369
意大利杯 热那亚VS南蒂罗尔 全场回放（张天翼） 23:45,http://219.151.182.121:7788/967642631
亚冠精英 艾因VS利雅得胜利 全场回放（鲁靖明） 23:45,http://219.151.182.121:7788/967644293
西甲 巴列卡诺VS西班牙人 全场回放（周楚雄） 00:45,http://219.151.182.121:7788/967644361
西甲 阿拉维斯VS瓦伦西亚 全场回放（孙雨轩） 01:45,http://219.151.182.121:7788/967645398
亚冠精英 利雅得新月VS加拉法体育 全场回放（兰子非） 02:00,http://219.151.182.121:7788/967646157
意大利杯 佛罗伦萨VS比萨 全场回放（石庆圣） 02:45,http://219.151.182.121:7788/967646114
WTA 贝莱克、斯特恩斯闯进八强 【回放】斯蒂芬斯2-0曾丽美（赛场原声） 03:00,http://219.151.182.121:7788/967652595
WTA 贝莱克、斯特恩斯闯进八强 【回放】布克沙2-0乌德瓦尔迪（赛场原声） 03:00,http://219.151.182.121:7788/967646289
WTA 贝莱克、斯特恩斯闯进八强 【回放】帕克斯0-2贝莱克（赛场原声） 03:00,http://219.151.182.121:7788/967646750
WTA 贝莱克、斯特恩斯闯进八强 【回放】帕里0-2斯特恩斯（赛场原声） 03:00,http://219.151.182.121:7788/967648619
WTA 贝莱克、斯特恩斯闯进八强 【回放】布克沙2-0乌德瓦尔迪（英文原声） 03:00,http://219.151.182.121:7788/967646292
WTA 贝莱克、斯特恩斯闯进八强 【回放】帕克斯0-2贝莱克（英文原声） 03:00,http://219.151.182.121:7788/967646763
WTA 贝莱克、斯特恩斯闯进八强 【回放】帕里0-2斯特恩斯（英文原声） 03:00,http://219.151.182.121:7788/967648674
WTA 贝莱克、斯特恩斯闯进八强 【回放】斯蒂芬斯2-0曾丽美（英文原声） 03:00,http://219.151.182.121:7788/967651954
西甲 埃尔切VS皇家马德里 全场回放（林梦鸽、孙雷） 03:15,http://219.151.182.121:7788/967646520
UFC白大拿挑战者系列赛 五场比赛4场终结4人圆梦UFC获合同 全场（赛场原声） 06:55,http://219.151.182.121:7788/967649651
中国自行车运动协会系列赛 2026第十四届环太湖国际公路自行车赛 2026第十四届环太湖国际公路自行车赛Day5全场回放（官方解说） 08:50,http://219.151.182.121:7788/967653122
黄金健美超级联赛 2026年黄金健美超级联赛自然赛 2026黄金健美超级联赛自然赛全场回放（官方解说）（二） 10:00,http://219.151.182.121:7788/967658030
黄金健美超级联赛 2026年黄金健美超级联赛自然赛 2026黄金健美超级联赛自然赛全场回放（官方解说）（一） 10:00,http://219.151.182.121:7788/967658557
WTT 李天阳横扫晋级 徐瑛彬直落三局 全场回放（张靖松） 14:00,http://219.151.182.121:7788/967656135
WTT 李天阳横扫晋级 徐瑛彬直落三局 全场回放（一号桌） 14:00,http://219.151.182.121:7788/967657462
WTT 李天阳横扫晋级 徐瑛彬直落三局 全场回放（二号桌） 14:00,http://219.151.182.121:7788/967657160
WTT 李天阳横扫晋级 徐瑛彬直落三局 全场回放（三号桌） 14:00,http://219.151.182.121:7788/967657449
WTT 李天阳横扫晋级 徐瑛彬直落三局 全场回放（四号桌） 14:00,http://219.151.182.121:7788/967656757
肇东杯 男女单打第一、二阶段 全场回放（一） 14:00,http://219.151.182.121:7788/967652878
肇东杯 男女单打第一、二阶段 全场回放（二） 14:00,http://219.151.182.121:7788/967657683
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】斯坦·穆迪0-4姚朋成（涂子轩） 23:00,http://219.151.182.121:7788/967657929
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】龙泽煌2-4高阳（熊冕） 23:00,http://219.151.182.121:7788/967659288
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】江俊1-4利亚姆·海菲尔德（朱峰立） 23:00,http://219.151.182.121:7788/967666045
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】卢卡·布雷切尔4-1米歇尔·曼恩（柏林） 23:00,http://219.151.182.121:7788/967660356
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】斯坦·穆迪0-4姚朋成（赛场原声） 23:00,http://219.151.182.121:7788/967659964
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】奥利弗·莱恩斯3-4张家玮（赛场原声） 23:00,http://219.151.182.121:7788/967659157
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】龙泽煌2-4高阳（赛场原声） 23:00,http://219.151.182.121:7788/967660472
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】江俊1-4利亚姆·海菲尔德（赛场原声） 23:00,http://219.151.182.121:7788/967667267
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】卢卡·布雷切尔4-1米歇尔·曼恩（赛场原声） 23:00,http://219.151.182.121:7788/967660868
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】汤姆·福德4-0大卫·格雷斯（赛场原声） 23:00,http://219.151.182.121:7788/967663393
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】马丁·奥德奈尔4-1恰查蓬·纳萨（赛场原声） 23:00,http://219.151.182.121:7788/967662085
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】本·沃拉斯顿0-4利亚姆·普伦（赛场原声） 23:00,http://219.151.182.121:7788/967660970
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】扎克·舒尔第3-4奥利弗·塞克斯（赛场原声） 23:00,http://219.151.182.121:7788/967659106
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】罗比·威廉姆斯4-1迈克尔·拉尔科夫（赛场原声） 23:00,http://219.151.182.121:7788/967661434
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】瑞恩·戴4-2阿什利·休吉尔（赛场原声） 23:00,http://219.151.182.121:7788/967664411
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】丹尼尔·威尔斯4-0迪伦·埃莫里（赛场原声） 23:00,http://219.151.182.121:7788/967667638
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】迈克尔·霍尔特4-0吴安仪（赛场原声） 23:00,http://219.151.182.121:7788/967668623
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】斯科特·唐纳森4-2莱昂内·克劳利（赛场原声） 23:00,http://219.151.182.121:7788/967668769
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】杰克逊·佩奇2-4塔纳瓦特·提拉朋派班（赛场原声） 23:00,http://219.151.182.121:7788/967668864
斯诺克 姚朋成4-0穆迪 江俊、吴安仪遭淘汰 【回放】乔丹·布朗4-0朱利安·勒克莱（赛场原声） 23:00,http://219.151.182.121:7788/967668950
NBA经典赛事 NBA精彩重播：勇士vs快船 全场回放（杨健、曾令旭、王润陶、小七） 18:00,http://219.151.182.121:7788/964218601
亚冠精英 全北现代VS柏太阳神 全场回放（涂远） 17:45,http://219.151.182.121:7788/967659175
亚冠二级 首尔VS万隆 全场回放（刘洋） 17:45,http://219.151.182.121:7788/967659163
CPB中国棒球城市联赛 上海虎鲸8-5深圳蓝袜 2026赛季CPB中国棒球城市联赛深圳赛区全场回放：上海虎鲸8-5深圳蓝袜（官方解说） 18:30,http://219.151.182.121:7788/967663241
浙BA 桐乡70-100杭州 2026浙江省城市篮球联赛全场回放：桐乡vs杭州（赛场原声） 19:30,http://219.151.182.121:7788/967661371
浙BA 余姚86-59普陀 2026浙江省城市篮球联赛全场回放：余姚vs普陀（赛场原声） 19:30,http://219.151.182.121:7788/967661161
海河超儿 南开2-4河北 天津市海河足球超级联赛总决赛全场回放：南开4:2河北（赛场原声） 20:00,http://219.151.182.121:7788/967661837
WTT 韩菲儿晋级 李天阳/朱思冰横扫韩国组合 全场回放（高文清） 20:00,http://219.151.182.121:7788/967661696
WTT 韩菲儿晋级 李天阳/朱思冰横扫韩国组合 全场回放（一号桌） 20:00,http://219.151.182.121:7788/967663356
WTT 韩菲儿晋级 李天阳/朱思冰横扫韩国组合 全场回放（二号桌） 20:00,http://219.151.182.121:7788/967662566
WTT 韩菲儿晋级 李天阳/朱思冰横扫韩国组合 全场回放（三号桌） 20:00,http://219.151.182.121:7788/967663587
亚冠精英 泰港VS神户胜利船 全场回放（盛斌） 20:00,http://219.151.182.121:7788/967661114
亚冠二级 电讯体工VS墨尔本胜利 全场回放（乔迁） 20:00,http://219.151.182.121:7788/967661142
亚冠二级 伊尔比德侯赛因VS东孟加拉 全场回放（周楚雄） 23:45,http://219.151.182.121:7788/967666834
亚冠二级 阿尔纳达VS布赖代合作 全场回放（吴子越） 23:45,http://219.151.182.121:7788/967665429
亚冠二级 永恒体育VS纳萨夫 全场回放（乔迁） 23:45,http://219.151.182.121:7788/967665178
亚冠二级 阿布扎比统一VS科威特竞技 全场回放（鹿中原） 23:45,http://219.151.182.121:7788/967665231
西甲 拉科鲁尼亚VS塞维利亚 全场回放（李霄） 00:45,http://219.151.182.121:7788/967666631
西甲 马德里竞技VS奥萨苏纳 全场回放（张天翼、贺宇） 00:45,http://219.151.182.121:7788/967666847
亚冠二级 巴格达警察VS锡卜 全场回放（刘一臻） 02:00,http://219.151.182.121:7788/967668405
亚冠二级 巴格达警察VS锡卜 全场回放 02:00,http://219.151.182.121:7788/967669223
亚冠二级 赖扬VS费萨里体育 全场回放（洪宇青） 02:00,http://219.151.182.121:7788/967668651
WTA 约维奇晋级 萨姆索诺娃压场出战 赛场原声 03:00,http://219.151.182.121:7788/967493490
WTA 约维奇晋级 萨姆索诺娃压场出战 英文原声 03:00,http://219.151.182.121:7788/967493507
WTA 约维奇晋级 萨姆索诺娃压场出战 解说 03:00,http://219.151.182.121:7788/967658116
西甲 巴塞罗那VS桑坦德竞技 全场回放（张昊泽、李欣） 03:15,http://219.151.182.121:7788/967668785
咪咕体育日报 undefined 咪咕体育日报 第183期 08:00,http://219.151.182.121:7788/967157902
肇东杯 混合团体第一、二阶段 赛场原声 09:00,http://219.151.182.121:7788/967628241
黄金健美超级联赛 2026年第二十一届黄金健美超级联赛总决赛 解说 10:00,http://219.151.182.121:7788/967630181
WTT 王艺迪/韩菲儿冲8强 陈俊菘/陈垣宇迎内战 张靖松 凌维康 14:00,http://219.151.182.121:7788/967523292
WTT 王艺迪/韩菲儿冲8强 陈俊菘/陈垣宇迎内战 1号桌 14:00,http://219.151.182.121:7788/967519719
WTT 王艺迪/韩菲儿冲8强 陈俊菘/陈垣宇迎内战 2号桌 14:00,http://219.151.182.121:7788/967521580
WTT 王艺迪/韩菲儿冲8强 陈俊菘/陈垣宇迎内战 3号桌 14:00,http://219.151.182.121:7788/967521821
WTT 王艺迪/韩菲儿冲8强 陈俊菘/陈垣宇迎内战 4号桌 14:00,http://219.151.182.121:7788/967522068
WTT 王艺迪/韩菲儿冲8强 陈俊菘/陈垣宇迎内战 智能字幕 14:00,http://219.151.182.121:7788/967605390
斯诺克 张安达出战 雷佩凡对阵博伊科 陶哲铭 16:30,http://219.151.182.121:7788/967649332
斯诺克 张安达出战 雷佩凡对阵博伊科 涂子轩 16:30,http://219.151.182.121:7788/967649340
斯诺克 张安达出战 雷佩凡对阵博伊科 1号桌 16:30,http://219.151.182.121:7788/967607101
斯诺克 张安达出战 雷佩凡对阵博伊科 2号桌 16:30,http://219.151.182.121:7788/967606957
斯诺克 张安达出战 雷佩凡对阵博伊科 3号桌 16:30,http://219.151.182.121:7788/967607002
斯诺克 张安达出战 雷佩凡对阵博伊科 4号桌 16:30,http://219.151.182.121:7788/967607029
斯诺克 张安达出战 雷佩凡对阵博伊科 5号桌 16:30,http://219.151.182.121:7788/967607060
斯诺克 张安达出战 雷佩凡对阵博伊科 6号桌 16:30,http://219.151.182.121:7788/967607068
斯诺克 张安达出战 雷佩凡对阵博伊科 7号桌 16:30,http://219.151.182.121:7788/967607108
NBA经典赛事 NBA精彩重播：勇士vs太阳 孙博 李根 季孟年 18:00,http://219.151.182.121:7788/966324000
亚冠二级 町田泽维亚VS柴桢 刘洋 17:45,http://219.151.182.121:7788/967477019
亚冠二级 町田泽维亚VS柴桢 赛场原声 17:45,http://219.151.182.121:7788/967477570
亚冠二级 阿德莱德联VS大埔 吴子越 17:45,http://219.151.182.121:7788/967477047
亚冠二级 阿德莱德联VS大埔 赛场原声 17:45,http://219.151.182.121:7788/967477606
亚冠二级 狮城水手VS巴吞联 张天翼 17:45,http://219.151.182.121:7788/967477011
亚冠二级 狮城水手VS巴吞联 赛场原声 17:45,http://219.151.182.121:7788/967477552
晋超联赛 阳泉市VS晋中市 赛场原声 19:20,http://219.151.182.121:7788/966737999
浙BA 舟山VS临海 赛场原声 19:30,http://219.151.182.121:7788/967444381
浙BA 瑞安VS临安 赛场原声 19:30,http://219.151.182.121:7788/967444474
WTT 陈俊菘/王艺迪首秀 周启豪/薛飞冲8强 高文清 李柯鑫 20:00,http://219.151.182.121:7788/967523660
WTT 陈俊菘/王艺迪首秀 周启豪/薛飞冲8强 1号桌 20:00,http://219.151.182.121:7788/967519769
WTT 陈俊菘/王艺迪首秀 周启豪/薛飞冲8强 2号桌 20:00,http://219.151.182.121:7788/967521623
WTT 陈俊菘/王艺迪首秀 周启豪/薛飞冲8强 3号桌 20:00,http://219.151.182.121:7788/967521844
WTT 陈俊菘/王艺迪首秀 周启豪/薛飞冲8强 4号桌 20:00,http://219.151.182.121:7788/967522076
WTT 陈俊菘/王艺迪首秀 周启豪/薛飞冲8强 智能字幕 20:00,http://219.151.182.121:7788/967605545
亚冠二级 金边皇冠VS古晋 鹿中原 20:00,http://219.151.182.121:7788/967477194
亚冠二级 金边皇冠VS古晋 赛场原声 20:00,http://219.151.182.121:7788/967477646
亚冠二级 杰志VS江原 周楚雄 20:00,http://219.151.182.121:7788/967477063
亚冠二级 杰志VS江原 赛场原声 20:00,http://219.151.182.121:7788/967477622
亚冠二级 上海申花VS淡滨尼流浪者 石庆圣 李彦 魏欣怡 19:45,http://219.151.182.121:7788/967477265
亚冠二级 上海申花VS淡滨尼流浪者 赛场原声 20:00,http://219.151.182.121:7788/967477239
斯诺克 凯伦·威尔逊、宾汉姆、高阳出战 柏林 21:30,http://219.151.182.121:7788/967649322
斯诺克 凯伦·威尔逊、宾汉姆、高阳出战 1号桌 21:30,http://219.151.182.121:7788/967633053
斯诺克 凯伦·威尔逊、宾汉姆、高阳出战 2号桌 21:30,http://219.151.182.121:7788/967633133
斯诺克 凯伦·威尔逊、宾汉姆、高阳出战 3号桌 21:30,http://219.151.182.121:7788/967633153
斯诺克 凯伦·威尔逊、宾汉姆、高阳出战 4号桌 21:30,http://219.151.182.121:7788/967633200
斯诺克 凯伦·威尔逊、宾汉姆、高阳出战 5号桌 21:30,http://219.151.182.121:7788/967633232
斯诺克 凯伦·威尔逊、宾汉姆、高阳出战 6号桌 21:30,http://219.151.182.121:7788/967633254
斯诺克 凯伦·威尔逊、宾汉姆、高阳出战 7号桌 21:30,http://219.151.182.121:7788/967633294
WTA Day4 赛场原声 00:00,http://219.151.182.121:7788/967599153
WTA Day4 英文原声 00:00,http://219.151.182.121:7788/967599179
西甲 皇家贝蒂斯VS赫塔菲 兰子非 00:45,http://219.151.182.121:7788/967473220
西甲 皇家贝蒂斯VS赫塔菲 赛场原声 00:45,http://219.151.182.121:7788/967473231
斯诺克 罗伯逊出战 吉米·怀特PK史蒂文斯 1号桌 02:30,http://219.151.182.121:7788/967633088
斯诺克 罗伯逊出战 吉米·怀特PK史蒂文斯 2号桌 02:30,http://219.151.182.121:7788/967633366
斯诺克 罗伯逊出战 吉米·怀特PK史蒂文斯 3号桌 02:30,http://219.151.182.121:7788/967633387
斯诺克 罗伯逊出战 吉米·怀特PK史蒂文斯 4号桌 02:30,http://219.151.182.121:7788/967633401
斯诺克 罗伯逊出战 吉米·怀特PK史蒂文斯 5号桌 02:30,http://219.151.182.121:7788/967633423
斯诺克 罗伯逊出战 吉米·怀特PK史蒂文斯 6号桌 02:30,http://219.151.182.121:7788/967633474
斯诺克 罗伯逊出战 吉米·怀特PK史蒂文斯 7号桌 02:30,http://219.151.182.121:7788/967633492
WTA 女单1/4决赛 赛场原声 03:00,http://219.151.182.121:7788/967493518
WTA 女单1/4决赛 英文原声 03:00,http://219.151.182.121:7788/967493538
西甲 马拉加VS比利亚雷亚尔 洪宇青 03:15,http://219.151.182.121:7788/967473257
西甲 马拉加VS比利亚雷亚尔 赛场原声 03:15,http://219.151.182.121:7788/967473267
咪咕体育日报 undefined 咪咕体育日报 第184期 08:00,http://219.151.182.121:7788/967157892
全国体育行业职业技能大赛 大赛开幕式 解说 08:30,http://219.151.182.121:7788/967632291
中国自行车运动协会系列赛 “犀旺杯”环黄山国际公路自行车赛Day1 解说 08:50,http://219.151.182.121:7788/967652470
肇东杯 男女单打1/4决赛、半决赛及决赛 赛场原声 09:00,http://219.151.182.121:7788/967628234
中国围棋甲级联赛 围甲联赛第14轮 解说 14:00,http://219.151.182.121:7788/967153506
WTT 男女单打1/16决赛、双打1/4决赛 高文清 凌维康 14:00,http://219.151.182.121:7788/967523470
WTT 男女单打1/16决赛、双打1/4决赛 1号桌 14:00,http://219.151.182.121:7788/967519809
WTT 男女单打1/16决赛、双打1/4决赛 2号桌 14:00,http://219.151.182.121:7788/967521637
WTT 男女单打1/16决赛、双打1/4决赛 3号桌 14:00,http://219.151.182.121:7788/967521854
WTT 男女单打1/16决赛、双打1/4决赛 4号桌 14:00,http://219.151.182.121:7788/967522092
WTT 男女单打1/16决赛、双打1/4决赛 智能字幕 14:00,http://219.151.182.121:7788/967605407
斯诺克 周跃龙、江俊、塞尔比出战 1号桌 16:30,http://219.151.182.121:7788/967607142
斯诺克 周跃龙、江俊、塞尔比出战 5号桌 16:30,http://219.151.182.121:7788/967606934
斯诺克 周跃龙、江俊、塞尔比出战 6号桌 16:30,http://219.151.182.121:7788/967607006
斯诺克 周跃龙、江俊、塞尔比出战 7号桌 16:30,http://219.151.182.121:7788/967607054
斯诺克 周跃龙、江俊、塞尔比出战 8号桌 16:30,http://219.151.182.121:7788/967607071
斯诺克 周跃龙、江俊、塞尔比出战 2号桌 16:30,http://219.151.182.121:7788/967607205
斯诺克 周跃龙、江俊、塞尔比出战 3号桌 16:30,http://219.151.182.121:7788/967607316
斯诺克 周跃龙、江俊、塞尔比出战 4号桌 16:30,http://219.151.182.121:7788/967607370
斯诺克 周跃龙、江俊、塞尔比出战 陶哲铭 16:30,http://219.151.182.121:7788/967649273
斯诺克 周跃龙、江俊、塞尔比出战 卢正浩 16:30,http://219.151.182.121:7788/967649318
CPB中国棒球城市联赛 深圳蓝袜VS上海虎鲸 清流播出 18:00,http://219.151.182.121:7788/967034687
浙BA 金华VS温州 赛场原声 19:30,http://219.151.182.121:7788/967444669
中超 浙江俱乐部绿城VS武汉三镇 梁祥宇 王宇 19:20,http://219.151.182.121:7788/967472248
中超 浙江俱乐部绿城VS武汉三镇 赛场原声 19:20,http://219.151.182.121:7788/967472236
WTT 男女单打1/16决赛、男女双打半决赛 赵曦 20:00,http://219.151.182.121:7788/967523677
WTT 男女单打1/16决赛、男女双打半决赛 1号桌 20:00,http://219.151.182.121:7788/967519840
WTT 男女单打1/16决赛、男女双打半决赛 2号桌 20:00,http://219.151.182.121:7788/967521677
WTT 男女单打1/16决赛、男女双打半决赛 3号桌 20:00,http://219.151.182.121:7788/967521864
WTT 男女单打1/16决赛、男女双打半决赛 4号桌 20:00,http://219.151.182.121:7788/967522121
WTT 男女单打1/16决赛、男女双打半决赛 智能字幕 20:00,http://219.151.182.121:7788/967605569
ONE冠军赛 ONE周五格斗夜171：克拉洛布VS索恩素克 郝俊 21:25,http://219.151.182.121:7788/967656901
ONE冠军赛 ONE周五格斗夜171：克拉洛布VS索恩素克 英文原声 21:25,http://219.151.182.121:7788/967656880
斯诺克 傅家俊、肖国栋出战 1号桌 21:30,http://219.151.182.121:7788/967634041
斯诺克 傅家俊、肖国栋出战 2号桌 21:30,http://219.151.182.121:7788/967634046
斯诺克 傅家俊、肖国栋出战 3号桌 21:30,http://219.151.182.121:7788/967634073
斯诺克 傅家俊、肖国栋出战 4号桌 21:30,http://219.151.182.121:7788/967634092
斯诺克 傅家俊、肖国栋出战 5号桌 21:30,http://219.151.182.121:7788/967634124
斯诺克 傅家俊、肖国栋出战 6号桌 21:30,http://219.151.182.121:7788/967634155
斯诺克 傅家俊、肖国栋出战 7号桌 21:30,http://219.151.182.121:7788/967634184
斯诺克 傅家俊、肖国栋出战 8号桌 21:30,http://219.151.182.121:7788/967634221
斯诺克 傅家俊、肖国栋出战 朱峰立 21:30,http://219.151.182.121:7788/967649263
斯诺克 傅家俊、肖国栋出战 柏林 21:30,http://219.151.182.121:7788/967649269
